"End_ID","Start_ID","Duration","Start_DT","End_DT","Start_Address","End_Adress","Bike_ID","Member_Type","S_Lat","S_Long","E_Lat","E_Long","start_coord","end_coord"
31000,31205,1531980,2017-02-14 16:28:00,2017-02-14 16:54:00,"21st & I St NW","Eads St & 15th St S","W21722","Registered",38.9008,-77.047,38.858971,-77.05323,"38.9008, -77.047","38.858971, -77.05323"
31000,31006,348063,2017-02-14 17:58:00,2017-02-14 18:04:00,"S Joyce & Army Navy Dr","Eads St & 15th St S","W21722","Registered",38.8637,-77.0633,38.858971,-77.05323,"38.8637, -77.0633","38.858971, -77.05323"
31000,31505,2658698,2017-02-14 18:16:00,2017-02-14 19:00:00,"Eckington Pl & Q St NE","Eads St & 15th St S","W20463","Registered",38.910972,-77.00495,38.858971,-77.05323,"38.910972, -77.00495","38.858971, -77.05323"
31001,31091,254190,2017-02-14 08:03:00,2017-02-14 08:07:00,"S Joyce & 16th St S","18th & Eads St.","W00850","Registered",38.859254,-77.063275,38.85725,-77.05332,"38.859254, -77.063275","38.85725, -77.05332"
31002,31025,2947976,2017-02-14 08:03:00,2017-02-14 08:52:00,"Central Library / N Quincy St & 10th St N","20th & Crystal Dr","W21790","Registered",38.88397,-77.10783,38.856425,-77.049232,"38.88397, -77.10783","38.856425, -77.049232"
31002,31011,140083,2017-02-14 15:40:00,2017-02-14 15:43:00,"23rd & Crystal Dr","20th & Crystal Dr","W22236","Registered",38.8533,-77.0498,38.856425,-77.049232,"38.8533, -77.0498","38.856425, -77.049232"
31002,31249,877465,2017-02-14 07:21:00,2017-02-14 07:36:00,"Jefferson Memorial","20th & Crystal Dr","W20419","Registered",38.879819,-77.037413,38.856425,-77.049232,"38.879819, -77.037413","38.856425, -77.049232"
31002,31268,2537807,2017-02-14 08:57:00,2017-02-14 09:39:00,"12th & U St NW","20th & Crystal Dr","W00290","Registered",38.916787,-77.028139,38.856425,-77.049232,"38.916787, -77.028139","38.856425, -77.049232"
31002,31012,147078,2017-02-14 17:30:00,2017-02-14 17:33:00,"26th & S Clark St","20th & Crystal Dr","W20618","Registered",38.850688,-77.05152,38.856425,-77.049232,"38.850688, -77.05152","38.856425, -77.049232"
31002,31012,173994,2017-02-14 21:32:00,2017-02-14 21:35:00,"26th & S Clark St","20th & Crystal Dr","W00030","Registered",38.850688,-77.05152,38.856425,-77.049232,"38.850688, -77.05152","38.856425, -77.049232"
31002,31009,239334,2017-02-14 07:35:00,2017-02-14 07:39:00,"27th & Crystal Dr","20th & Crystal Dr","W20844","Registered",38.848441,-77.051516,38.856425,-77.049232,"38.848441, -77.051516","38.856425, -77.049232"
31002,31008,242055,2017-02-14 09:25:00,2017-02-14 09:29:00,"12th & Army Navy Dr","20th & Crystal Dr","W22702","Registered",38.8629,-77.0528,38.856425,-77.049232,"38.8629, -77.0528","38.856425, -77.049232"
31003,31003,1367706,2017-02-14 21:52:00,2017-02-14 22:15:00,"15th & Crystal Dr","15th & Crystal Dr","W22253","Registered",38.86017,-77.049593,38.86017,-77.049593,"38.86017, -77.049593","38.86017, -77.049593"
31003,31091,458318,2017-02-14 08:13:00,2017-02-14 08:21:00,"S Joyce & 16th St S","15th & Crystal Dr","W22126","Registered",38.859254,-77.063275,38.86017,-77.049593,"38.859254, -77.063275","38.86017, -77.049593"
31003,31284,1757984,2017-02-14 16:48:00,2017-02-14 17:17:00,"18th & C St NW","15th & Crystal Dr","W00841","Registered",38.893511,-77.041544,38.86017,-77.049593,"38.893511, -77.041544","38.86017, -77.049593"
31003,31100,1715256,2017-02-14 18:17:00,2017-02-14 18:45:00,"19th St & Pennsylvania Ave NW","15th & Crystal Dr","W20890","Registered",38.9003,-77.0429,38.86017,-77.049593,"38.9003, -77.0429","38.86017, -77.049593"
31003,31252,1803179,2017-02-14 16:09:00,2017-02-14 16:39:00,"21st St & Pennsylvania Ave NW","15th & Crystal Dr","W21319","Registered",38.901539,-77.046564,38.86017,-77.049593,"38.901539, -77.046564","38.86017, -77.049593"
31003,31240,1412119,2017-02-14 13:32:00,2017-02-14 13:56:00,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","15th & Crystal Dr","W22667","Registered",38.88412,-77.04657,38.86017,-77.049593,"38.88412, -77.04657","38.86017, -77.049593"
31003,31091,373776,2017-02-14 08:32:00,2017-02-14 08:38:00,"S Joyce & 16th St S","15th & Crystal Dr","W20053","Registered",38.859254,-77.063275,38.86017,-77.049593,"38.859254, -77.063275","38.86017, -77.049593"
31003,31249,897400,2017-02-14 07:15:00,2017-02-14 07:29:00,"Jefferson Memorial","15th & Crystal Dr","W20558","Registered",38.879819,-77.037413,38.86017,-77.049593,"38.879819, -77.037413","38.86017, -77.049593"
31003,31011,229259,2017-02-14 10:42:00,2017-02-14 10:46:00,"23rd & Crystal Dr","15th & Crystal Dr","W20172","Registered",38.8533,-77.0498,38.86017,-77.049593,"38.8533, -77.0498","38.86017, -77.049593"
31003,31005,402608,2017-02-14 17:26:00,2017-02-14 17:32:00,"Pentagon City Metro / 12th & S Hayes St","15th & Crystal Dr","W00876","Registered",38.862303,-77.059936,38.86017,-77.049593,"38.862303, -77.059936","38.86017, -77.049593"
31003,31014,1474480,2017-02-14 08:41:00,2017-02-14 09:05:00,"Lynn & 19th St North","15th & Crystal Dr","W01009","Registered",38.897315,-77.070993,38.86017,-77.049593,"38.897315, -77.070993","38.86017, -77.049593"
31003,31011,253492,2017-02-14 15:03:00,2017-02-14 15:07:00,"23rd & Crystal Dr","15th & Crystal Dr","W01276","Registered",38.8533,-77.0498,38.86017,-77.049593,"38.8533, -77.0498","38.86017, -77.049593"
31003,31008,146404,2017-02-14 16:57:00,2017-02-14 17:00:00,"12th & Army Navy Dr","15th & Crystal Dr","W22253","Registered",38.8629,-77.0528,38.86017,-77.049593,"38.8629, -77.0528","38.86017, -77.049593"
31003,31008,150492,2017-02-14 18:06:00,2017-02-14 18:08:00,"12th & Army Navy Dr","15th & Crystal Dr","W20529","Registered",38.8629,-77.0528,38.86017,-77.049593,"38.8629, -77.0528","38.86017, -77.049593"
31004,31011,341945,2017-02-14 20:07:00,2017-02-14 20:12:00,"23rd & Crystal Dr","Aurora Hills Community Ctr/18th & Hayes St","W20561","Registered",38.8533,-77.0498,38.857866,-77.05949,"38.8533, -77.0498","38.857866, -77.05949"
31004,31007,356898,2017-02-14 18:51:00,2017-02-14 18:57:00,"Crystal City Metro / 18th & Bell St","Aurora Hills Community Ctr/18th & Hayes St","W20884","Registered",38.857405,-77.051132,38.857866,-77.05949,"38.857405, -77.051132","38.857866, -77.05949"
31004,31008,325005,2017-02-14 15:12:00,2017-02-14 15:18:00,"12th & Army Navy Dr","Aurora Hills Community Ctr/18th & Hayes St","W22311","Registered",38.8629,-77.0528,38.857866,-77.05949,"38.8629, -77.0528","38.857866, -77.05949"
31004,31005,181838,2017-02-14 17:41:00,2017-02-14 17:44:00,"Pentagon City Metro / 12th & S Hayes St","Aurora Hills Community Ctr/18th & Hayes St","W21227","Registered",38.862303,-77.059936,38.857866,-77.05949,"38.862303, -77.059936","38.857866, -77.05949"
31004,31005,154129,2017-02-14 18:49:00,2017-02-14 18:51:00,"Pentagon City Metro / 12th & S Hayes St","Aurora Hills Community Ctr/18th & Hayes St","W21229","Registered",38.862303,-77.059936,38.857866,-77.05949,"38.862303, -77.059936","38.857866, -77.05949"
31004,31003,688643,2017-02-14 17:48:00,2017-02-14 18:00:00,"15th & Crystal Dr","Aurora Hills Community Ctr/18th & Hayes St","W00876","Registered",38.86017,-77.049593,38.857866,-77.05949,"38.86017, -77.049593","38.857866, -77.05949"
31004,31005,156472,2017-02-14 17:56:00,2017-02-14 17:59:00,"Pentagon City Metro / 12th & S Hayes St","Aurora Hills Community Ctr/18th & Hayes St","W00495","Registered",38.862303,-77.059936,38.857866,-77.05949,"38.862303, -77.059936","38.857866, -77.05949"
31004,31005,211598,2017-02-14 17:41:00,2017-02-14 17:45:00,"Pentagon City Metro / 12th & S Hayes St","Aurora Hills Community Ctr/18th & Hayes St","W20043","Registered",38.862303,-77.059936,38.857866,-77.05949,"38.862303, -77.059936","38.857866, -77.05949"
31004,31052,650224,2017-02-14 20:36:00,2017-02-14 20:47:00,"Potomac Ave & 35th St S","Aurora Hills Community Ctr/18th & Hayes St","W22052","Registered",38.844015,-77.050537,38.857866,-77.05949,"38.844015, -77.050537","38.857866, -77.05949"
31005,31091,243803,2017-02-14 06:53:00,2017-02-14 06:57:00,"S Joyce & 16th St S","Pentagon City Metro / 12th & S Hayes St","W23121","Registered",38.859254,-77.063275,38.862303,-77.059936,"38.859254, -77.063275","38.862303, -77.059936"
31005,31004,124271,2017-02-14 07:22:00,2017-02-14 07:24:00,"Aurora Hills Community Ctr/18th & Hayes St","Pentagon City Metro / 12th & S Hayes St","W00068","Registered",38.857866,-77.05949,38.862303,-77.059936,"38.857866, -77.05949","38.862303, -77.059936"
31005,31056,658083,2017-02-14 09:16:00,2017-02-14 09:27:00,"S Troy St & 26th St S","Pentagon City Metro / 12th & S Hayes St","W23148","Registered",38.847977,-77.075104,38.862303,-77.059936,"38.847977, -77.075104","38.862303, -77.059936"
31005,31004,131809,2017-02-14 07:47:00,2017-02-14 07:50:00,"Aurora Hills Community Ctr/18th & Hayes St","Pentagon City Metro / 12th & S Hayes St","W01328","Registered",38.857866,-77.05949,38.862303,-77.059936,"38.857866, -77.05949","38.862303, -77.059936"
31005,31246,3098344,2017-02-14 07:37:00,2017-02-14 08:29:00,"M St & Pennsylvania Ave NW","Pentagon City Metro / 12th & S Hayes St","W22048","Casual",38.905126,-77.056887,38.862303,-77.059936,"38.905126, -77.056887","38.862303, -77.059936"
31005,31244,1328251,2017-02-14 18:57:00,2017-02-14 19:19:00,"4th & E St SW","Pentagon City Metro / 12th & S Hayes St","W22053","Registered",38.88412,-77.017445,38.862303,-77.059936,"38.88412, -77.017445","38.862303, -77.059936"
