address,fuel,name,Longitude,Latitude,Time
"625-627 S St NW, Washington, DC 20001, USA",87,EC6502,-77.02081,38.91411,5/18/2017 13:36
"625-627 S St NW, Washington, DC 20001, USA",87,EC6502,-77.02081,38.91411,5/18/2017 15:28
"1301-1327 Howard Rd SE, Washington, DC 20020, USA",87,EC6502,-76.99312,38.86101,5/18/2017 16:03
"1301-1327 Howard Rd SE, Washington, DC 20020, USA",87,EC6502,-76.99312,38.86101,5/18/2017 20:17
"821 Whittier Pl NW, Washington, DC 20012, USA",81,EC6502,-77.02542,38.97149,5/18/2017 21:03
"821 Whittier Pl NW, Washington, DC 20012, USA",81,EC6502,-77.02542,38.97149,5/19/2017 8:35
"1327 Allison St NW, Washington, DC 20011, USA",81,EC6502,-77.03118,38.94508,5/19/2017 8:50
"1327 Allison St NW, Washington, DC 20011, USA",81,EC6502,-77.03118,38.94508,5/19/2017 8:55
"815 Whittier Pl NW, Washington, DC 20012, USA",81,EC6502,-77.02481,38.97148,5/19/2017 9:11
"815 Whittier Pl NW, Washington, DC 20012, USA",81,EC6502,-77.02481,38.97148,5/19/2017 9:11
"2800-2898 15th St NW, Washington, DC 20009, USA",78,EC6502,-77.03545,38.92578,5/19/2017 9:41
"2800-2898 15th St NW, Washington, DC 20009, USA",78,EC6502,-77.03545,38.92578,5/19/2017 13:38
"4633-4701 14th St NW, Washington, DC 20011, USA",100,EC6503,-77.03267,38.94676,5/18/2017 13:36
"4633-4701 14th St NW, Washington, DC 20011, USA",100,EC6503,-77.03267,38.94676,5/18/2017 18:46
"5200-5298 43rd St NW, Washington, MD 20015, USA",100,EC6503,-77.08384,38.95863,5/18/2017 19:31
"5200-5298 43rd St NW, Washington, MD 20015, USA",100,EC6503,-77.08384,38.95863,5/18/2017 22:19
"1404 Crittenden St NW, Washington, DC 20011, USA",100,EC6503,-77.03298,38.94715,5/18/2017 23:00
"1404 Crittenden St NW, Washington, DC 20011, USA",100,EC6503,-77.03298,38.94715,5/19/2017 8:40
"501-599 I St NW, Washington, DC 20001, USA",96,EC6503,-77.01915,38.90094,5/19/2017 9:06
"501-599 I St NW, Washington, DC 20001, USA",96,EC6503,-77.01915,38.90094,5/19/2017 9:16
"1100 7th St NE, Washington, DC 20002, USA",96,EC6503,-76.99618,38.9041,5/19/2017 9:36
"1100 7th St NE, Washington, DC 20002, USA",96,EC6503,-76.99618,38.9041,5/19/2017 10:47
"232 N St NW, Washington, DC 20001, USA",93,EC6503,-77.01483,38.90719,5/19/2017 11:17
"232 N St NW, Washington, DC 20001, USA",93,EC6503,-77.01483,38.90719,5/19/2017 11:22
"301 M St NW, Washington, DC 20001, USA",90,EC6503,-77.01557,38.90572,5/19/2017 12:48
"301 M St NW, Washington, DC 20001, USA",90,EC6503,-77.01557,38.90572,5/19/2017 13:38
"2506 Virginia Ave NW, Washington, DC 20037, USA",56,EC6507,-77.05463,38.89939,5/18/2017 13:36
"2506 Virginia Ave NW, Washington, DC 20037, USA",56,EC6507,-77.05463,38.89939,5/18/2017 17:44
"5008 13th St NW, Washington, DC 20011, USA",50,EC6507,-77.02977,38.95119,5/18/2017 18:20
"5008 13th St NW, Washington, DC 20011, USA",50,EC6507,-77.02977,38.95119,5/19/2017 11:58
"1303 Florida Ave NW, Washington, DC 20009, USA",50,EC6507,-77.02995,38.92052,5/19/2017 12:28
"1303 Florida Ave NW, Washington, DC 20009, USA",50,EC6507,-77.02995,38.92052,5/19/2017 13:18
"330 A St SE, Washington, DC 20003, USA",46,EC6507,-77.00102,38.88872,5/19/2017 13:48
